Time: 21.08, Latitude: 47.397759726, Longitude 8.545533003, Altitude 493.73
Time: 21.18, Latitude: 47.397768306, Longitude 8.545535055, Altitude 492.91
Time: 21.28, Latitude: 47.397768306, Longitude 8.545535055, Altitude 492.91
Time: 21.38, Latitude: 47.397771662, Longitude 8.545542212, Altitude 492.51
Time: 21.48, Latitude: 47.39777702, Longitude 8.545541899, Altitude 492.81
Time: 21.58, Latitude: 47.397778658, Longitude 8.545551627, Altitude 492.78
Time: 21.68, Latitude: 47.397778658, Longitude 8.545551627, Altitude 492.78
Time: 21.78, Latitude: 47.397783383, Longitude 8.545558333, Altitude 493.32
Time: 21.88, Latitude: 47.397785833, Longitude 8.545563974, Altitude 493.44
Time: 21.98, Latitude: 47.397789023, Longitude 8.545577496, Altitude 492.35
Time: 22.08, Latitude: 47.397787451, Longitude 8.545584911, Altitude 494.02
Time: 22.18, Latitude: 47.397787451, Longitude 8.545584911, Altitude 494.02
Time: 22.28, Latitude: 47.397790457, Longitude 8.545593436, Altitude 492.95
Time: 22.38, Latitude: 47.397788435, Longitude 8.545598298, Altitude 492.61
Time: 22.48, Latitude: 47.397793197, Longitude 8.545607163, Altitude 492.84
Time: 22.58, Latitude: 47.397790823, Longitude 8.545614897, Altitude 492.61
Time: 22.68, Latitude: 47.397790823, Longitude 8.545614897, Altitude 492.61
Time: 22.78, Latitude: 47.397784888, Longitude 8.545627118, Altitude 492.89
Time: 22.88, Latitude: 47.397780463, Longitude 8.545629824, Altitude 492.89
Time: 22.98, Latitude: 47.397782405, Longitude 8.545638813, Altitude 493.28
Time: 23.08, Latitude: 47.397782405, Longitude 8.545638813, Altitude 493.28
Time: 23.18, Latitude: 47.397775271, Longitude 8.54564359, Altitude 493.22
Time: 23.28, Latitude: 47.397773331, Longitude 8.545652077, Altitude 493.39
Time: 23.38, Latitude: 47.397767059, Longitude 8.545657117, Altitude 492.38
Time: 23.48, Latitude: 47.397763049, Longitude 8.545658804, Altitude 492.97
Time: 23.58, Latitude: 47.397763049, Longitude 8.545658804, Altitude 492.97
Time: 23.68, Latitude: 47.397757247, Longitude 8.545660399, Altitude 492.93
Time: 23.78, Latitude: 47.397754058, Longitude 8.54566326, Altitude 491.97
Time: 23.88, Latitude: 47.397746892, Longitude 8.545660464, Altitude 492.89
Time: 23.98, Latitude: 47.397746892, Longitude 8.545660464, Altitude 492.89
Time: 24.08, Latitude: 47.397738851, Longitude 8.545663401, Altitude 493.35
Time: 24.18, Latitude: 47.39773628, Longitude 8.545660282, Altitude 492.54
Time: 24.28, Latitude: 47.397731166, Longitude 8.545656281, Altitude 493.09
Time: 24.38, Latitude: 47.397723707, Longitude 8.545655837, Altitude 492.74
Time: 24.48, Latitude: 47.397723707, Longitude 8.545655837, Altitude 492.74
Time: 24.58, Latitude: 47.397717409, Longitude 8.545652257, Altitude 492.89
Time: 24.68, Latitude: 47.397715533, Longitude 8.545642866, Altitude 492.63
Time: 24.78, Latitude: 47.39771564, Longitude 8.545635749, Altitude 491.81
Time: 24.88, Latitude: 47.397705048, Longitude 8.545629568, Altitude 492.41
Time: 24.98, Latitude: 47.397705048, Longitude 8.545629568, Altitude 492.41
Time: 25.08, Latitude: 47.397705566, Longitude 8.545617496, Altitude 492.19
Time: 25.18, Latitude: 47.39770387, Longitude 8.54560929, Altitude 493.19
Time: 25.28, Latitude: 47.397702965, Longitude 8.545603776, Altitude 492.55
Time: 25.38, Latitude: 47.397702965, Longitude 8.545603776, Altitude 492.55
Time: 25.48, Latitude: 47.397698781, Longitude 8.545598029, Altitude 492.58
Time: 25.58, Latitude: 47.397699502, Longitude 8.54558899, Altitude 493.19
Time: 25.68, Latitude: 47.397704438, Longitude 8.545578894, Altitude 492.6
Time: 25.78, Latitude: 47.397704438, Longitude 8.545578894, Altitude 492.6
Time: 25.88, Latitude: 47.397703477, Longitude 8.54556832, Altitude 492.88
Time: 25.98, Latitude: 47.397710028, Longitude 8.545564524, Altitude 493.0
Time: 26.08, Latitude: 47.397709237, Longitude 8.545557503, Altitude 493.06
Time: 26.18, Latitude: 47.397712603, Longitude 8.545550786, Altitude 492.36
Time: 26.28, Latitude: 47.397712603, Longitude 8.545550786, Altitude 492.36
Time: 26.38, Latitude: 47.397714733, Longitude 8.545546103, Altitude 492.86
Time: 26.48, Latitude: 47.397718598, Longitude 8.545536411, Altitude 492.1
Time: 26.58, Latitude: 47.397725538, Longitude 8.545535799, Altitude 492.44
Time: 26.68, Latitude: 47.397725538, Longitude 8.545535799, Altitude 492.44
Time: 26.78, Latitude: 47.397730829, Longitude 8.545532435, Altitude 492.82
Time: 26.88, Latitude: 47.397734287, Longitude 8.545533982, Altitude 492.45
Time: 26.98, Latitude: 47.397743919, Longitude 8.545534182, Altitude 492.7
Time: 27.08, Latitude: 47.397751535, Longitude 8.545530949, Altitude 492.49
Time: 27.18, Latitude: 47.397751535, Longitude 8.545530949, Altitude 492.49
Time: 27.28, Latitude: 47.397753533, Longitude 8.545533262, Altitude 493.67
Time: 27.38, Latitude: 47.397760462, Longitude 8.545533894, Altitude 493.91
Time: 27.48, Latitude: 47.397763865, Longitude 8.545535072, Altitude 493.38
Time: 27.58, Latitude: 47.397771575, Longitude 8.545541672, Altitude 492.71
Time: 27.68, Latitude: 47.397771575, Longitude 8.545541672, Altitude 492.71
Time: 27.78, Latitude: 47.397772097, Longitude 8.545549387, Altitude 493.34
Time: 27.88, Latitude: 47.39777859, Longitude 8.54555734, Altitude 492.75
Time: 27.98, Latitude: 47.397781416, Longitude 8.545560103, Altitude 493.13
Time: 28.08, Latitude: 47.397781416, Longitude 8.545560103, Altitude 493.13
Time: 28.18, Latitude: 47.397785417, Longitude 8.545566014, Altitude 491.44
Time: 28.28, Latitude: 47.397786971, Longitude 8.545579247, Altitude 493.56
Time: 28.38, Latitude: 47.39778813, Longitude 8.545582959, Altitude 493.26
Time: 28.48, Latitude: 47.397789105, Longitude 8.545593398, Altitude 491.99
Time: 28.58, Latitude: 47.397789105, Longitude 8.545593398, Altitude 491.99
Time: 28.68, Latitude: 47.397790758, Longitude 8.545602971, Altitude 491.8
Time: 28.78, Latitude: 47.397789407, Longitude 8.545608055, Altitude 493.28
Time: 28.88, Latitude: 47.397787543, Longitude 8.545615665, Altitude 492.77
Time: 28.98, Latitude: 47.397787543, Longitude 8.545615665, Altitude 492.77
Time: 29.08, Latitude: 47.397785021, Longitude 8.545627705, Altitude 491.91
Time: 29.18, Latitude: 47.397782991, Longitude 8.545631087, Altitude 491.76
Time: 29.28, Latitude: 47.39778116, Longitude 8.545638086, Altitude 491.57
Time: 29.38, Latitude: 47.397777309, Longitude 8.545642233, Altitude 492.68
Time: 29.48, Latitude: 47.397777309, Longitude 8.545642233, Altitude 492.68
Time: 29.58, Latitude: 47.397774548, Longitude 8.545651931, Altitude 492.21
Time: 29.68, Latitude: 47.39776751, Longitude 8.545657562, Altitude 492.33
Time: 29.78, Latitude: 47.397764282, Longitude 8.54565647, Altitude 492.08
Time: 29.88, Latitude: 47.397764282, Longitude 8.54565647, Altitude 492.08
Time: 29.98, Latitude: 47.397754198, Longitude 8.545657911, Altitude 493.3
Time: 30.08, Latitude: 47.397750509, Longitude 8.545661055, Altitude 492.86
Time: 30.18, Latitude: 47.397745034, Longitude 8.545658819, Altitude 493.4
Time: 30.28, Latitude: 47.397737809, Longitude 8.54566249, Altitude 493.41
Time: 30.38, Latitude: 47.397737809, Longitude 8.54566249, Altitude 493.41
Time: 30.48, Latitude: 47.397731672, Longitude 8.545659755, Altitude 492.68
Time: 30.58, Latitude: 47.397728527, Longitude 8.545659811, Altitude 493.48
Time: 30.68, Latitude: 47.397723315, Longitude 8.545652855, Altitude 492.89
Time: 30.78, Latitude: 47.397723315, Longitude 8.545652855, Altitude 492.89
Time: 30.88, Latitude: 47.397717059, Longitude 8.545650658, Altitude 492.93
Time: 30.98, Latitude: 47.397713023, Longitude 8.545638094, Altitude 492.68
Time: 31.08, Latitude: 47.397710959, Longitude 8.545637349, Altitude 492.3
Time: 31.18, Latitude: 47.397707047, Longitude 8.545626244, Altitude 492.77
Time: 31.28, Latitude: 47.397707047, Longitude 8.545626244, Altitude 492.77
Time: 31.38, Latitude: 47.397704379, Longitude 8.545621303, Altitude 492.64
Time: 31.48, Latitude: 47.397701341, Longitude 8.545616127, Altitude 492.83
Time: 31.58, Latitude: 47.397702767, Longitude 8.545607406, Altitude 492.34
Time: 31.68, Latitude: 47.397699697, Longitude 8.545595945, Altitude 493.78
Time: 31.78, Latitude: 47.397699697, Longitude 8.545595945, Altitude 493.78
Time: 31.88, Latitude: 47.397704915, Longitude 8.545588773, Altitude 492.61
Time: 31.98, Latitude: 47.397702534, Longitude 8.545581282, Altitude 492.37
Time: 32.08, Latitude: 47.397704894, Longitude 8.545571976, Altitude 492.06
Time: 32.18, Latitude: 47.397704894, Longitude 8.545571976, Altitude 492.06
Time: 32.28, Latitude: 47.397705682, Longitude 8.545564609, Altitude 492.87
Time: 32.38, Latitude: 47.397709898, Longitude 8.545558348, Altitude 492.66
Time: 32.48, Latitude: 47.397711991, Longitude 8.545552796, Altitude 492.29
Time: 32.58, Latitude: 47.397715984, Longitude 8.545547624, Altitude 492.15
Time: 32.68, Latitude: 47.397715984, Longitude 8.545547624, Altitude 492.15
Time: 32.78, Latitude: 47.397719082, Longitude 8.545544342, Altitude 493.63
Time: 32.88, Latitude: 47.397724841, Longitude 8.545539653, Altitude 493.68
Time: 32.98, Latitude: 47.397733514, Longitude 8.545533373, Altitude 492.81
Time: 33.08, Latitude: 47.397736356, Longitude 8.545529946, Altitude 492.16
Time: 33.18, Latitude: 47.397736356, Longitude 8.545529946, Altitude 492.16
Time: 33.28, Latitude: 47.39774409, Longitude 8.545530032, Altitude 492.82
Time: 33.38, Latitude: 47.397749026, Longitude 8.545531273, Altitude 493.19
Time: 33.48, Latitude: 47.397751944, Longitude 8.545530553, Altitude 493.14
Time: 33.58, Latitude: 47.397751944, Longitude 8.545530553, Altitude 493.14
Time: 33.68, Latitude: 47.39776223, Longitude 8.545534046, Altitude 491.96
Time: 33.78, Latitude: 47.39776296, Longitude 8.545539451, Altitude 491.7
Time: 33.88, Latitude: 47.397768178, Longitude 8.545544612, Altitude 492.51
Time: 33.98, Latitude: 47.397768178, Longitude 8.545544612, Altitude 492.51
Time: 34.08, Latitude: 47.397772587, Longitude 8.545548587, Altitude 493.26
Time: 34.18, Latitude: 47.397776836, Longitude 8.54555321, Altitude 492.96
Time: 34.28, Latitude: 47.3977804, Longitude 8.545557909, Altitude 492.31
Time: 34.38, Latitude: 47.397786071, Longitude 8.545569861, Altitude 493.24
Time: 34.48, Latitude: 47.397786071, Longitude 8.545569861, Altitude 493.24
Time: 34.58, Latitude: 47.397790274, Longitude 8.545573301, Altitude 492.54
Time: 34.68, Latitude: 47.397788598, Longitude 8.545580709, Altitude 492.98
Time: 34.78, Latitude: 47.397789336, Longitude 8.545582178, Altitude 492.94
Time: 34.88, Latitude: 47.397787168, Longitude 8.545592251, Altitude 492.24
Time: 34.98, Latitude: 47.397787168, Longitude 8.545592251, Altitude 492.24
Time: 35.08, Latitude: 47.39778608, Longitude 8.54559364, Altitude 493.78
Time: 35.18, Latitude: 47.397785472, Longitude 8.545599203, Altitude 492.92
Time: 35.28, Latitude: 47.397780427, Longitude 8.545602287, Altitude 492.74
Time: 35.38, Latitude: 47.397774877, Longitude 8.545600738, Altitude 493.38
Time: 35.48, Latitude: 47.397774877, Longitude 8.545600738, Altitude 493.38
Time: 35.58, Latitude: 47.397773958, Longitude 8.545604588, Altitude 492.89
Time: 35.68, Latitude: 47.397769213, Longitude 8.545605555, Altitude 493.35
Time: 35.78, Latitude: 47.397766122, Longitude 8.545608453, Altitude 493.33
