Time: 13.09, Latitude: 47.397743486, Longitude 8.545594122, Altitude 492.33
Time: 13.19, Latitude: 47.397746521, Longitude 8.54559665, Altitude 492.82
Time: 13.29, Latitude: 47.397746521, Longitude 8.54559665, Altitude 492.82
Time: 13.39, Latitude: 47.397744636, Longitude 8.545595403, Altitude 492.79
Time: 13.49, Latitude: 47.397746836, Longitude 8.545597246, Altitude 493.57
Time: 13.59, Latitude: 47.397742846, Longitude 8.545598022, Altitude 493.53
Time: 13.69, Latitude: 47.397746801, Longitude 8.545593716, Altitude 492.95
Time: 13.79, Latitude: 47.397746801, Longitude 8.545593716, Altitude 492.95
Time: 13.89, Latitude: 47.397746004, Longitude 8.545595408, Altitude 492.94
Time: 13.99, Latitude: 47.397747536, Longitude 8.545594219, Altitude 493.68
Time: 14.09, Latitude: 47.397740187, Longitude 8.545597704, Altitude 493.86
Time: 14.19, Latitude: 47.397745116, Longitude 8.545592642, Altitude 492.91
Time: 14.29, Latitude: 47.397745116, Longitude 8.545592642, Altitude 492.91
Time: 14.39, Latitude: 47.39774413, Longitude 8.545592403, Altitude 492.26
Time: 14.49, Latitude: 47.397746667, Longitude 8.545596608, Altitude 494.05
Time: 14.59, Latitude: 47.397748316, Longitude 8.545600435, Altitude 494.11
Time: 14.69, Latitude: 47.397748316, Longitude 8.545600435, Altitude 494.11
Time: 14.8, Latitude: 47.397751221, Longitude 8.545605303, Altitude 493.4
Time: 14.89, Latitude: 47.397754232, Longitude 8.545605883, Altitude 493.5
Time: 14.99, Latitude: 47.397754244, Longitude 8.545607345, Altitude 492.92
Time: 15.09, Latitude: 47.397757772, Longitude 8.545609918, Altitude 493.06
Time: 15.19, Latitude: 47.397757772, Longitude 8.545609918, Altitude 493.06
Time: 15.29, Latitude: 47.397758754, Longitude 8.545616457, Altitude 493.09
Time: 15.39, Latitude: 47.397761156, Longitude 8.545623178, Altitude 492.76
Time: 15.49, Latitude: 47.397762743, Longitude 8.545629381, Altitude 493.2
Time: 15.59, Latitude: 47.397762743, Longitude 8.545629381, Altitude 493.2
Time: 15.7, Latitude: 47.397757738, Longitude 8.545634137, Altitude 494.06
Time: 15.79, Latitude: 47.39775629, Longitude 8.545638825, Altitude 493.3
Time: 15.89, Latitude: 47.397759146, Longitude 8.545636074, Altitude 493.28
Time: 15.99, Latitude: 47.397759481, Longitude 8.545645383, Altitude 493.52
Time: 16.09, Latitude: 47.397759481, Longitude 8.545645383, Altitude 493.52
Time: 16.19, Latitude: 47.397753658, Longitude 8.54564646, Altitude 493.18
Time: 16.29, Latitude: 47.39774877, Longitude 8.545649224, Altitude 492.44
Time: 16.39, Latitude: 47.39774826, Longitude 8.545653946, Altitude 492.26
Time: 16.49, Latitude: 47.397745944, Longitude 8.545653284, Altitude 493.49
Time: 16.59, Latitude: 47.397745944, Longitude 8.545653284, Altitude 493.49
Time: 16.69, Latitude: 47.3977425, Longitude 8.545651802, Altitude 493.91
Time: 16.79, Latitude: 47.397735853, Longitude 8.545653123, Altitude 493.02
Time: 16.89, Latitude: 47.397731849, Longitude 8.545649542, Altitude 492.82
Time: 16.99, Latitude: 47.397730386, Longitude 8.54564586, Altitude 492.78
Time: 17.09, Latitude: 47.397730386, Longitude 8.54564586, Altitude 492.78
Time: 17.19, Latitude: 47.397725185, Longitude 8.545641082, Altitude 492.4
Time: 17.29, Latitude: 47.397721538, Longitude 8.54564163, Altitude 492.73
Time: 17.39, Latitude: 47.397714835, Longitude 8.545636463, Altitude 492.77
Time: 17.49, Latitude: 47.397714835, Longitude 8.545636463, Altitude 492.77
Time: 17.59, Latitude: 47.397708933, Longitude 8.545632279, Altitude 493.39
Time: 17.69, Latitude: 47.39771118, Longitude 8.545621762, Altitude 493.19
Time: 17.79, Latitude: 47.397709792, Longitude 8.545616614, Altitude 494.5
Time: 17.89, Latitude: 47.397707573, Longitude 8.545603669, Altitude 493.67
Time: 17.99, Latitude: 47.397707573, Longitude 8.545603669, Altitude 493.67
